,NSEG,KB,KBAVG,F,meandepth,coverage
102,264,2124370.0,8046.84,0.4312,0.13543166666666667,7.351896153846153
100,566,1764250.0,3117.05,-0.09109,0.18758907692307691,9.754685897435897
104,290,2092890.0,7216.86,0.3327,0.15049315384615386,7.733582051282052
106,441,1708640.0,3874.47,-0.01134,0.2621162564102564,12.74999282051282
108,446,1076670.0,2414.07,-0.4331,0.3537139487179486,17.620146153846154
105,442,1986050.0,4493.33,0.1881,0.18459023076923076,9.727950769230771
110,459,1119030.0,2437.96,-0.4059,0.3296000256410256,16.178292307692306
121,566,1861890.0,3289.55,-0.04325,0.18173607692307694,9.547754615384614
113,591,1339840.0,2267.08,-0.2934,0.263660641025641,13.326270769230769
117,469,1033510.0,2203.65,-0.4408,0.33308974358974364,16.362423076923072
123,334,2076220.0,6216.23,0.2765,0.14265090769230768,7.53495794871795
112,602,1336680.0,2220.4,-0.2931,0.24686589743589743,12.93585128205128
111,580,1546820.0,2666.94,-0.2149,0.25559958974358976,13.03670769230769
115,267,414341.0,1551.84,-0.7501,0.3879091794871795,19.4161358974359
122,581,1737010.0,2989.69,-0.08507,0.22612848717948722,11.500248717948715
116,393,683146.0,1738.28,-0.6257,0.3613003076923077,18.114920512820518
119,359,1083650.0,3018.54,-0.3806,0.372796282051282,18.517297435897433
114,551,1826220.0,3314.38,0.01056,0.18802953846153847,9.737927948717948
14,347,737722.0,2126.0,-0.6023,0.3912324102564102,19.427515384615386
15,568,1252710.0,2205.48,-0.3587,0.2953201794871795,15.089535897435894
16,443,1970310.0,4447.64,0.09361,0.1719676948717949,9.07006153846154
20,563,1788560.0,3176.84,-0.06905,0.20353574358974358,10.346499230769231
23,297,2094430.0,7051.97,0.317,0.12507164102564103,6.712683846153846
25,578,1211430.0,2095.91,-0.4023,0.2943460256410256,14.693206410256412
19,624,1534060.0,2458.43,-0.2306,0.2245377179487179,11.794801282051282
18,266,1543060.0,5800.96,-0.01295,0.34742048717948715,17.256920512820507
17,392,1947790.0,4968.85,0.2506,0.2277878205128205,11.886033333333334
27,503,1564470.0,3110.29,-0.0761,0.2810882564102564,14.373228205128207
22,488,1872660.0,3837.42,0.0328,0.18060399487179488,9.357896923076922
124,390,1260700.0,3232.57,-0.2721,0.34000569230769234,16.647779487179484
35,414,1955120.0,4722.51,0.1862,0.19086820512820518,9.93615717948718
30,225,544340.0,2419.29,-0.8786,0.5213864358974359,24.900115384615386
2,552,1834990.0,3324.25,-0.01558,0.19709253846153843,10.302761538461539
28,354,1977850.0,5587.14,0.2298,0.18882284615384615,9.493036923076923
29,132,1725630.0,13073.0,0.381,0.09207234871794871,4.621345128205128
34,624,1670990.0,2677.87,-0.1703,0.21384258974358977,11.262443589743592
38,442,1116200.0,2525.34,-0.4038,0.3528313076923077,17.589979487179487
37,508,1817380.0,3577.53,0.04292,0.2175105641025641,11.39374358974359
36,588,1147690.0,1951.86,-0.413,0.2942180769230769,16.167446153846157
32,527,1742380.0,3306.23,0.0005366,0.23233812820512822,12.202828205128204
